Raw Letters,Raw Values,time_idx,node_values,series
w,-1,1,-1,0
w,-1,2,-2,0
w,-1,3,-3,0
q,1,4,-2,0
w,-1,5,-3,0
w,-1,6,-4,0
w,-1,7,-5,0
w,-1,8,-6,0
w,-1,9,-7,0
w,-1,10,-8,0
w,-1,11,-9,0
w,-1,12,-10,0
w,-1,13,-11,0
w,-1,14,-12,0
w,-1,15,-13,0
w,-1,16,-14,0
w,-1,17,-15,0
w,-1,18,-16,0
w,-1,19,-17,0
w,-1,20,-18,0
q,1,21,-17,0
w,-1,22,-18,0
q,1,23,-17,0
w,-1,24,-18,0
w,-1,25,-19,0
q,1,26,-18,0
w,-1,27,-19,0
w,-1,28,-20,0
w,-1,29,-21,0
w,-1,30,-22,0
w,-1,31,-23,0
w,-1,32,-24,0
w,-1,33,-25,0
w,-1,34,-26,0
q,1,35,-25,0
w,-1,36,-26,0
w,-1,37,-27,0
w,-1,38,-28,0
w,-1,39,-29,0
w,-1,40,-30,0
w,-1,41,-31,0
w,-1,42,-32,0
w,-1,43,-33,0
w,-1,44,-34,0
q,1,45,-33,0
w,-1,46,-34,0
w,-1,47,-35,0
w,-1,48,-36,0
w,-1,49,-37,0
w,-1,50,-38,0
w,-1,51,-39,0
q,1,52,-38,0
w,-1,53,-39,0
q,1,54,-38,0
q,1,55,-37,0
w,-1,56,-38,0
w,-1,57,-39,0
w,-1,58,-40,0
q,1,59,-39,0
w,-1,60,-40,0
w,-1,61,-41,0
q,1,62,-40,0
w,-1,63,-41,0
q,1,64,-40,0
w,-1,65,-41,0
q,1,66,-40,0
w,-1,67,-41,0
w,-1,68,-42,0
w,-1,69,-43,0
w,-1,70,-44,0
w,-1,71,-45,0
q,1,72,-44,0
w,-1,73,-45,0
w,-1,74,-46,0
q,1,75,-45,0
w,-1,76,-46,0
w,-1,77,-47,0
w,-1,78,-48,0
w,-1,79,-49,0
w,-1,80,-50,0
w,-1,81,-51,0
w,-1,82,-52,0
w,-1,83,-53,0
q,1,84,-52,0
w,-1,85,-53,0
w,-1,86,-54,0
w,-1,87,-55,0
w,-1,88,-56,0
w,-1,89,-57,0
w,-1,90,-58,0
w,-1,91,-59,0
w,-1,92,-60,0
w,-1,93,-61,0
q,1,94,-60,0
w,-1,95,-61,0
w,-1,96,-62,0
q,1,97,-61,0
w,-1,98,-62,0
w,-1,99,-63,0
w,-1,100,-64,0
w,-1,101,-65,0
w,-1,102,-66,0
w,-1,103,-67,0
w,-1,104,-68,0
w,-1,105,-69,0
w,-1,106,-70,0
w,-1,107,-71,0
q,1,108,-70,0
w,-1,109,-71,0
w,-1,110,-72,0
q,1,111,-71,0
w,-1,112,-72,0
w,-1,113,-73,0
w,-1,114,-74,0
q,1,115,-73,0
w,-1,116,-74,0
w,-1,117,-75,0
w,-1,118,-76,0
q,1,119,-75,0
w,-1,120,-76,0
w,-1,121,-77,0
q,1,122,-76,0
w,-1,123,-77,0
q,1,124,-76,0
w,-1,125,-77,0
w,-1,126,-78,0
q,1,127,-77,0
w,-1,128,-78,0
w,-1,129,-79,0
q,1,130,-78,0
w,-1,131,-79,0
q,1,132,-78,0
w,-1,133,-79,0
w,-1,134,-80,0
w,-1,135,-81,0
w,-1,136,-82,0
w,-1,137,-83,0
w,-1,138,-84,0
q,1,139,-83,0
w,-1,140,-84,0
q,1,141,-83,0
w,-1,142,-84,0
w,-1,143,-85,0
w,-1,144,-86,0
w,-1,145,-87,0
w,-1,146,-88,0
w,-1,147,-89,0
w,-1,148,-90,0
q,1,149,-89,0
w,-1,150,-90,0
q,1,151,-89,0
q ,1,152,-88,0
w,-1,153,-89,0
w,-1,154,-90,0
w,-1,155,-91,0
w,-1,156,-92,0
w,-1,157,-93,0
q,1,158,-92,0
w,-1,159,-93,0
w,-1,160,-94,0
w,-1,161,-95,0
w,-1,162,-96,0
w,-1,163,-97,0
w,-1,164,-98,0
w,-1,165,-99,0
w,-1,166,-100,0
q,1,167,-99,0
w,-1,168,-100,0
w,-1,169,-101,0
w,-1,170,-102,0
w,-1,171,-103,0
w,-1,172,-104,0
q,1,173,-103,0
w,-1,174,-104,0
q,1,175,-103,0
w,-1,176,-104,0
w,-1,177,-105,0
q,1,178,-104,0
w,-1,179,-105,0
q,1,180,-104,0
w,-1,181,-105,0
w,-1,182,-106,0
w,-1,183,-107,0
w,-1,184,-108,0
w,-1,185,-109,0
w,-1,186,-110,0
w,-1,187,-111,0
q,1,188,-110,0
w,-1,189,-111,0
q,1,190,-110,0
w,-1,191,-111,0
q,1,192,-110,0
w,-1,193,-111,0
q,1,194,-110,0
w,-1,195,-111,0
w,-1,196,-112,0
w,-1,197,-113,0
q,1,198,-112,0
w,-1,199,-113,0
q,1,200,-112,0
w,-1,201,-113,0
w,-1,202,-114,0
w,-1,203,-115,0
w,-1,204,-116,0
w,-1,205,-117,0
q,1,206,-116,0
w,-1,207,-117,0
q,1,208,-116,0
q,1,209,-115,0
q,1,210,-114,0
q,1,211,-113,0
w,-1,212,-114,0
w,-1,213,-115,0
w,-1,214,-116,0
w,-1,215,-117,0
w,-1,216,-118,0
w,-1,217,-119,0
w,-1,218,-120,0
w,-1,219,-121,0
w,-1,220,-122,0
q,1,221,-121,0
w,-1,222,-122,0
w,-1,223,-123,0
w,-1,224,-124,0
w,-1,225,-125,0
q,1,226,-124,0
w,-1,227,-125,0
w,-1,228,-126,0
w,-1,229,-127,0
w,-1,230,-128,0
q,1,231,-127,0
w,-1,232,-128,0
q,1,233,-127,0
w,-1,234,-128,0
w,-1,235,-129,0
q,1,236,-128,0
w,-1,237,-129,0
q,1,238,-128,0
q,1,239,-127,0
w,-1,240,-128,0
q,1,241,-127,0
w,-1,242,-128,0
w,-1,243,-129,0
w,-1,244,-130,0
q,1,245,-129,0
w,-1,246,-130,0
w,-1,247,-131,0
w,-1,248,-132,0
w,-1,249,-133,0
q,1,250,-132,0
w,-1,251,-133,0
w,-1,252,-134,0
q,1,253,-133,0
w,-1,254,-134,0
q,1,255,-133,0
w,-1,256,-134,0
w,-1,257,-135,0
w,-1,258,-136,0
q,1,259,-135,0
w,-1,260,-136,0
w,-1,261,-137,0
q,1,262,-136,0
w,-1,263,-137,0
w,-1,264,-138,0
w,-1,265,-139,0
q,1,266,-138,0
w,-1,267,-139,0
q,1,268,-138,0
q,1,269,-137,0
q,1,270,-136,0
w,-1,271,-137,0
w,-1,272,-138,0
q,1,273,-137,0
w,-1,274,-138,0
w,-1,275,-139,0
w,-1,276,-140,0
q,1,277,-139,0
w,-1,278,-140,0
q,1,279,-139,0
w,-1,280,-140,0
q,1,281,-139,0
w,-1,282,-140,0
q,1,283,-139,0
q,1,284,-138,0
w,-1,285,-139,0
w,-1,286,-140,0
w,-1,287,-141,0
w,-1,288,-142,0
w,-1,289,-143,0
q,1,290,-142,0
w,-1,291,-143,0
q,1,292,-142,0
q,1,293,-141,0
w,-1,294,-142,0
q,1,295,-141,0
w,-1,296,-142,0
w,-1,297,-143,0
w,-1,298,-144,0
w,-1,299,-145,0
q,1,300,-144,0
w,-1,301,-145,0
w,-1,302,-146,0
w,-1,303,-147,0
w,-1,304,-148,0
w,-1,305,-149,0
w,-1,306,-150,0
w,-1,307,-151,0
q,1,308,-150,0
w,-1,309,-151,0
w,-1,310,-152,0
w,-1,311,-153,0
w,-1,312,-154,0
w,-1,313,-155,0
w,-1,314,-156,0
w,-1,315,-157,0
w,-1,316,-158,0
w,-1,317,-159,0
q,1,318,-158,0
w,-1,319,-159,0
q,1,320,-158,0
w,-1,321,-159,0
w,-1,322,-160,0
w,-1,323,-161,0
w,-1,324,-162,0
w,-1,325,-163,0
w,-1,326,-164,0
w,-1,327,-165,0
w,-1,328,-166,0
q,1,329,-165,0
w,-1,330,-166,0
q,1,331,-165,0
w,-1,332,-166,0
q,1,333,-165,0
q,1,334,-164,0
w,-1,335,-165,0
w,-1,336,-166,0
w,-1,337,-167,0
w,-1,338,-168,0
w,-1,339,-169,0
q,1,340,-168,0
w,-1,341,-169,0
q,1,342,-168,0
w,-1,343,-169,0
q,1,344,-168,0
w,-1,345,-169,0
w,-1,346,-170,0
w,-1,347,-171,0
w,-1,348,-172,0
w,-1,349,-173,0
